"","Var1","Freq","lat","lon"
"1","00601",4,18.180103,-66.74947
"2","00602",2,18.363285,-67.18024
"3","00603",6,18.448619,-67.13422
"4","00604",2,18.498987,-67.13699
"5","00605",3,18.465162,-67.141486
"6","00606",1,18.182151,-66.9588
"7","00610",2,18.288319,-67.13604
"8","00611",2,18.279531,-66.80217
"9","00612",4,18.449732,-66.69879
"10","00613",1,18.458093,-66.732732
"11","00614",1,18.429675,-66.674506
"12","00616",2,18.426748,-66.67669
"13","00617",3,18.455499,-66.55575
"14","00622",1,18.003125,-67.16745
"15","00623",2,18.08643,-67.15222
"16","00624",1,18.055399,-66.72602
"17","00627",1,18.435246,-66.85644
"18","00637",2,18.073078,-66.94864
"19","00638",3,18.308139,-66.49835
"20","00641",1,18.268896,-66.70519
"21","00646",5,18.442798,-66.27689
"22","00647",1,17.964529,-66.93993
"23","00650",4,18.363331,-66.56773
"24","00652",2,18.457453,-66.61217
"25","00653",2,17.992112,-66.90097
"26","00656",3,18.038866,-66.79168
"27","00659",2,18.432956,-66.80039
"28","00660",3,18.139108,-67.12085
"29","00662",2,18.478855,-67.01973
"30","00664",3,18.212565,-66.59243
"31","00667",1,18.017819,-67.04226
"32","00669",1,18.288418,-66.87503
"33","00670",2,18.241343,-66.97604
"34","00674",2,18.426137,-66.48697
"35","00676",3,18.37956,-67.08424
"36","00677",1,18.336121,-67.23675
"37","00678",1,18.442334,-66.93275
"38","00680",1,18.205232,-67.12655
"39","00681",1,18.219023,-67.508068
"40","00682",1,18.208402,-67.15428
"41","00683",2,18.092807,-67.04524
"42","00685",2,18.332595,-66.98104
"43","00687",2,18.31708,-66.41528
"44","00688",2,18.40415,-66.61348
"45","00690",2,18.495369,-67.09867
"46","00692",4,18.419666,-66.33186
"47","00693",5,18.440667,-66.3921
"48","00694",1,18.443109,-66.398302
"49","00698",3,18.06547,-66.85587
"50","00703",5,18.246205,-66.12827
"51","00704",2,17.970112,-66.22291
"52","00705",3,18.12942,-66.26541
"53","00707",2,18.014505,-65.91018
"54","00714",1,17.987288,-66.05552
"55","00715",3,18.003492,-66.55868
"56","00716",2,17.999066,-66.59965
"57","00717",1,18.004303,-66.61374
"58","00718",1,18.22048,-65.74293
"59","00719",3,18.294571,-66.25098
"60","00720",1,18.217827,-66.42265
"61","00721",3,18.364161,-65.778288
"62","00723",3,18.023196,-66.0131
"63","00725",10,18.233927,-66.04502
"64","00726",1,18.212965,-66.058033
"65","00727",2,18.23,-66.03
"66","00728",2,18.013353,-66.65218
"67","00729",6,18.35615,-65.89089
"68","00730",2,18.022626,-66.61727
"69","00731",1,18.077329,-66.61192
"70","00732",1,18.021781,-66.613742
"71","00733",1,18.019331,-66.619165
"72","00734",1,17.999499,-66.643934
"73","00735",2,18.258444,-65.65987
"74","00736",4,18.112895,-66.15377
"75","00737",1,18.102967,-66.139274
"76","00738",3,18.32265,-65.66116
"77","00739",6,18.16984,-66.16271
"78","00740",2,18.331711,-65.62761
"79","00741",3,18.160755,-65.75765
"80","00742",1,18.264872,-65.594769
"81","00744",1,18.206329,-65.743058
"82","00745",3,18.366213,-65.82277
"83","00751",4,17.993803,-66.26534
"84","00754",4,18.15633,-65.96831
"85","00757",1,17.98631,-66.39457
"86","00761",1,18.265445,-66.702364
"87","00765",2,18.125664,-65.45603
"88","00766",2,18.126023,-66.48208
"89","00767",2,18.072752,-65.89703
"90","00769",4,18.092813,-66.3611
"91","00771",3,18.18744,-65.87088
"92","00772",2,18.427674,-65.87605
"93","00773",2,18.361344,-65.72133
"94","00775",2,18.311149,-65.29257
"95","00777",1,18.224088,-65.91316
"96","00778",3,18.258628,-65.97791
"97","00780",3,18.068538,-66.55939
"98","00782",5,18.223348,-66.2267
"99","00783",4,18.304874,-66.32305
"100","00784",5,17.984137,-66.12779
"101","00785",1,18.018822,-66.795603
"102","00786",1,18.128092,-66.268717
"103","00791",6,18.147257,-65.82269
"104","00792",2,18.138029,-65.788499
"105","00794",4,18.204294,-66.31058
"106","00795",4,18.036253,-66.50289
"107","00901",3,18.465426,-66.10786
"108","00902",1,18.410462,-66.060533
"109","00907",4,18.451131,-66.07798
"110","00909",2,18.442282,-66.06764
"111","00910",1,18.410462,-66.060533
"112","00911",2,18.45009,-66.0577
"113","00912",2,18.445946,-66.05928
"114","00913",3,18.450907,-66.04256
"115","00915",6,18.436995,-66.04888
"116","00916",2,18.410462,-66.060533
"117","00917",2,18.422263,-66.0513
"118","00918",4,18.417668,-66.06494
"119","00919",1,18.410462,-66.060533
"120","00920",5,18.41242,-66.09069
"121","00921",5,18.394019,-66.08633
"122","00922",1,18.410462,-66.060533
"123","00923",1,18.410681,-66.03806
"124","00924",4,18.401917,-66.01194
"125","00925",2,18.400006,-66.05028
"126","00926",9,18.361363,-66.0562
"127","00927",3,18.39184,-66.06867
"128","00928",1,18.410462,-66.060533
"129","00929",3,18.410462,-66.060533
"130","00936",2,18.410462,-66.060533
"131","00940",1,18.410462,-66.060533
"132","00947",1,18.433173,-66.2042
"133","00949",7,18.457761,-66.196503
"134","00950",2,18.457761,-66.196503
"135","00951",2,18.429218,-66.18014
"136","00952",2,18.36802,-66.23414
"137","00953",3,18.358939,-66.258108
"138","00954",3,18.34216,-66.16643
"139","00956",6,18.369674,-66.18669
"140","00957",1,18.34487,-66.166014
"141","00958",1,18.387063,-66.15943
"142","00959",2,18.34487,-66.166014
"143","00960",1,18.412462,-66.16033
"144","00961",1,18.437683,-66.13847
"145","00962",4,18.443217,-66.139293
"146","00963",3,18.431453,-66.11703
"147","00965",2,18.398507,-66.11522
"148","00966",1,18.408479,-66.1025
"149","00968",1,18.366981,-66.10889
"150","00969",3,18.359143,-66.112295
"151","00970",2,18.329688,-66.11876
"152","00971",2,18.346767,-66.00561
"153","00976",7,18.337004,-65.990099
"154","00977",1,18.337004,-65.990099
"155","00978",2,18.431885,-66.0127
"156","00979",4,18.410462,-66.060533
"157","00981",1,18.409345,-65.99313
"158","00982",1,18.414408,-65.97582
"159","00983",4,18.393355,-65.972495
"160","00984",1,18.374896,-65.94691
"161","00985",3,18.393355,-65.972495
"162","00986",1,18.372228,-65.96275
"163","00987",4,18.393355,-65.972495
"164","00988",1,39.065703,-94.90453
