ZipCode,Latitude,Longitude,Income
966,18.400335,-66.114661,49354
968,18.407775,-66.101312,38075
934,18.411812,-66.121215,37063
969,18.368624,-66.108963,35516
604,18.492373,-67.138234,31199
927,18.397628,-66.065611,30625
979,18.438709,-65.999474,29234
918,18.421474,-66.067762,27639
926,18.346846,-66.056617,26306
911,18.451156,-66.057409,24987
987,18.375884,-65.964094,23884
961,18.411177,-66.158209,23219
959,18.382818,-66.154751,22301
976,18.337063,-66.000204,22143
907,18.451642,-66.083896,21485
982,18.415125,-65.995854,20906
920,18.418443,-66.088935,20759
953,18.364556,-66.244669,20313
983,18.414757,-65.975487,20012
949,18.429005,-66.213373,18968
985,18.354723,-65.939382,18854
956,18.319539,-66.16889,17956
957,18.368533,-66.187693,17866
775,18.321573,-65.374613,17008
660,18.135593,-67.113645,16745
725,18.214723,-66.054737,16558
778,18.272581,-65.981177,16451
735,18.251473,-65.667381,16440
646,18.435949,-66.278379,16378
971,18.318375,-66.119257,16045
921,18.391715,-66.086408,15923
738,18.317753,-65.670613,15859
716,17.987761,-66.619442,15610
739,18.174611,-66.163688,15571
745,18.345798,-65.812326,15006
924,18.397636,-66.014388,14820
771,18.187201,-65.871196,14622
912,18.445621,-66.060692,14506
791,18.144021,-65.817887,14464
952,18.428675,-66.183255,14398
728,18.029147,-66.665621,14351
729,18.336124,-65.886392,14131
693,18.422953,-66.397133,13857
909,18.440945,-66.067285,13840
692,18.436096,-66.336263,13691
622,17.988103,-67.160357,13634
773,18.346218,-65.72316,13631
623,18.082397,-67.151152,13565
736,18.104923,-66.151525,13511
731,18.103874,-66.6246,13246
741,18.15838,-65.767181,13195
627,18.41503,-66.861879,13168
777,18.224133,-65.908542,13072
683,18.107796,-67.037256,13036
612,18.412693,-66.703445,13000
795,18.050377,-66.495548,12892
962,18.441934,-66.145498,12852
674,18.419693,-66.486784,12820
705,18.129715,-66.266406,12725
610,18.293389,-67.12067,12629
690,18.492624,-67.096282,12629
923,18.410804,-66.037358,12594
637,18.083,-66.943336,12485
719,18.289927,-66.25344,12472
703,18.248401,-66.130662,12463
659,18.407397,-66.794979,12378
767,18.069388,-65.896526,12292
754,18.147107,-65.976167,12226
624,18.060879,-66.721106,12194
784,18.010626,-66.134578,12180
652,18.452224,-66.603112,12097
780,18.094013,-66.565902,12092
687,18.318386,-66.418034,12090
917,18.4205,-66.050674,12068
769,18.1038,-66.357586,12064
680,18.208105,-67.102535,12042
723,18.029841,-66.017073,12021
678,18.435389,-66.922625,12005
925,18.400468,-66.050494,11970
698,18.085052,-66.858009,11924
757,17.993033,-66.390419,11895
783,18.30391,-66.326179,11786
662,18.460356,-67.007868,11753
688,18.382061,-66.619218,11729
766,18.126651,-66.47523,11728
717,18.00331,-66.613534,11697
707,18.017565,-65.921093,11638
650,18.349453,-66.578059,11544
617,18.437505,-66.559407,11511
714,17.995867,-66.055529,11484
718,18.23201,-65.756036,11461
677,18.33256,-67.227006,11460
667,18.016871,-67.037189,11426
602,18.358577,-67.174708,11384
656,18.037037,-66.79272,11361
704,17.969419,-66.224316,11340
794,18.199014,-66.309782,11322
751,18.015522,-66.258052,11298
676,18.377751,-67.080344,11271
664,18.210897,-66.586977,11220
682,18.183507,-67.155673,11121
782,18.227881,-66.225428,11027
685,18.336577,-66.974579,11014
730,18.025316,-66.620976,10992
638,18.291074,-66.513308,10986
965,18.425004,-66.121281,10978
603,18.452658,-67.125609,10748
715,17.995814,-66.562351,10556
616,18.40367,-66.664759,10476
915,18.43732,-66.047551,10038
720,18.215975,-66.433971,9945
641,18.269555,-66.70521,9901
601,18.18156,-66.758147,9888
653,17.995409,-66.900374,9770
669,18.278219,-66.866712,9758
901,18.465424,-66.104723,9751
740,18.33426,-65.632493,9748
647,17.965557,-66.945483,9607
670,18.227596,-66.97758,9556
765,18.124978,-65.441602,9331
606,18.173904,-66.935931,9243
772,18.438969,-65.905174,8962
631,18.203834,-66.864759,8345
906,18.464628,-66.101015,7361
913,18.450154,-66.043647,6450
